Order_ID,Customer_Name,Product,Category,Quantity,Price,Order_Date,City
ORD-0383,Ravi Reddy,Tablet,Electronics,4.0,18696.29,2023-06-05,SURAT
ORD-0071,Kiran Gupta,Photo Frame,Home Decor,9.0,432.67,2023-04-03,Kolkatta
ORD-0261,Rajesh Mehta,HISTORY BOOK,Books,8.0,465.53,2023-07-03,JAIPUR
ORD-0801,,Spices,Food,5.0,159.33,2023-10-09,Jaipur 
ORD-0454,Aarav Nair,Vase,Home Decor,2.0,897.53,2023-09-18,hyd
ORD-0592,Rajesh Kapoor,self help book,Books,5.0,416.9,2023-07-13,delhi
ORD-0907,Vikram Reddy,Saree,Clothing,,3285.7,2023-03-13,Bengaluru
ORD-0785,Kiran Verma,Smartphone,Electronics,8.0,22611.98,2023-09-20,Mumabi
ORD-0214,Suresh Nair,History Book,Books,3.0,412.78,2023-03-24,HYDERABAD
ORD-0097,Suresh Sharma,MIRROR,Home Decor,5.0,1812.28,2023-07-16,Chennai
ORD-0680,Sneha Mishra,kurta,Clothing,1.0,887.72,2023-09-21,
ORD-0850,Kavya Sharma,Headphones,Electronics,10.0,3085.85,2023-09-03,surat 
ORD-0640,Pooja Pillai,sneakers,Clothing,4.0,2889.56,2023-06-19,Hyd
ORD-0881,Pooja Gupta,Dress,Clothing,3.0,1378.98,2023-05-14,SURT
ORD-0193,Divya Verma,headphones,Electronics,10.0,3360.38,2023-12-25,hyderabad
ORD-0281,Ravi Bose,handbag,Clothing,1.0,2234.0,2023-03-09,Amdavad
ORD-0534,Arjun Gupta,Rug,Home Decor,8.0,3049.89,2023-12-16,Pink City
ORD-0683,Ananya Reddy,Headphones,Electronics,4.0,2703.8,2023-03-27,ahmedabad
ORD-0618,Manish Nair,monitor,Electronics,4.0,13995.95,2023-10-09,Channai
ORD-0983,Priya Singh,cookies,Food,8.0,88.2,2023-04-28,bangalore
ORD-0911,Pooja Kapoor,Mirror,Home Decor,5.0,1848.76,2023-10-17,BANGALORE
ORD-0185,Suresh Verma,rug,Home Decor,9.0,2782.15,2023-08-04,Amdavad
ORD-0031,Anjali Singh,Self Help Book,Books,2.0,412.91,2023-12-02,MumbAI
ORD-0329,Rajesh Mehta,Photo Frame,Home Decor,10.0,390.35,2023-06-27,Ahmadabad
ORD-0507,Divya Kapoor,wall art,Home Decor,1.0,1684.92,2023-12-30,Hyd
ORD-0055,Kavya Joshi,Novel ,Books,9.0,308.81,2023-03-03,Channai
ORD-0024,Sneha Kapoor,Chips,Food,10.0,48.0,2023-08-30,Bangalore
ORD-0102,Anjali Kumar,Clock,Home Decor,2.0,1040.92,2023-07-11,MUMBAI
ORD-0550,Aarav Bose,CURTAINS,Home Decor,1.0,2163.39,2023-11-28,pune
ORD-0248,Arjun Bose,plant pot,,2.0,399.0,2023-07-04,Mumabi
ORD-0004,Sneha Chopra,Keyboard,Electronics,5.0,1544.4,2023-10-26,surat
ORD-0087,Shreya Chopra,Headphones,Electronics,9.0,3206.65,2023-09-08,Kolkata
ORD-0844,Sneha Reddy,Lamp,Home Decor,2.0,1365.99,2023-08-12,Amdavad
ORD-0953,Deepa Iyer,Speaker,Electronics,8.0,2256.53,2023-02-09,Mumbai 
ORD-0291,Divya Bose,Python Basics,Books,3.0,515.49,2023-08-13,CHENNAI
ORD-0211,Deepa Joshi,Jacket,Clothing,8.0,2029.24,2023-12-27,KOLKATA
ORD-0803,Rahul Malhotra,,Electronics,4.0,3068.66,2023-05-29,SURAT
ORD-0175,Sneha Singh,Spices,Food,8.0,156.53,2023-05-10,Mumbai
ORD-0200,Pooja Agarwal,mouse,Electronics,7.0,867.17,2023-05-25,Banglore
ORD-0903,Suresh Reddy,Chocolate,Food,5.0,135.66,2023-11-11,Kolkatta
ORD-0795,Manish Mishra,self help book,Books,6.0,342.17,2023-12-10,Jaipur
ORD-0064,Ravi Chopra,ml handbook,Books,7.0,669.92,2023-04-13,pune
ORD-0266,Anjali Gupta,KEYBOARD,Electronics,3.0,1608.35,2023-07-10,Ahmadabad
ORD-0232,Pooja Kumar,MONITOR,Electronics,6.0,15011.87,2023-02-16,KOLKATA
ORD-0804,Amit Shah,SAREE,Clothing,2.0,3096.04,2023-12-10,CHENNAI
ORD-0626,Divya Mehta,Smart Watch,Electronics,9.0,7685.39,2023-09-24,SURT
ORD-0569,Vikram Agarwal,spices,Food,5.0,168.19,2023-04-14,MumbAI
ORD-0855,Kavya Joshi,Dress,Clothing,1.0,1367.31,2023-09-07,DELHI
ORD-0040,Manish Nair,Honey,Food,1.0,294.61,2023-05-14,Madras
ORD-0807,Rahul Reddy,Novel,Books,7.0,339.09,2023-02-20,JAIPUR
ORD-0169,Neha Bose,Biscuits,,1.0,68.98,2023-03-01,JAIPUR
ORD-0591,Kavya Nair,T-Shirt,Clothing,7.0,445.82,2023-03-03,pink city
ORD-0465,Pooja Iyer,Handbag,Clothing,8.0,2277.3,2023-06-14,poona
ORD-0999,Priya Sharma,Headphones,Electronics,5.0,3405.21,2023-03-07,Mumbai
ORD-0443,Arjun Singh,Plant Pot ,Home Decor,2.0,336.8,2023-10-29,poona
ORD-0909,Suresh Nair,Jeans ,Clothing,7.0,1113.39,2023-03-23,Pink City
ORD-0067,Suresh Singh,Rug,Home Decor,7.0,2676.83,2023-10-19,BANGALORE
ORD-0308,Divya Sharma,MOUSE,Electronics,1.0,757.51,2023-12-02,DELHI
ORD-0068,Deepa Mishra,Shoes,Clothing,4.0,2726.65,2023-08-23,pink city
ORD-0199,Kavya Chopra,cookbook,Books,5.0,446.45,2023-03-02,Poona
ORD-0529,Priya Agarwal,Sneakers,Clothing,,2600.74,2023-01-29,MUMBAI
ORD-0482,Aarav Agarwal,Sneakers,Clothing,4.0,3176.17,2023-09-20,pink city
ORD-0758,Anjali Singh,Keyboard,Electronics,6.0,1515.06,2023-10-07,Calcutta
ORD-0988,Kiran Reddy,saree,Clothing,5.0,2941.34,2023-12-12,Amdavad
ORD-0363,Neha Iyer,Jeans,Clothing,2.0,1184.97,2023-08-18,Chennai
ORD-0845,Rahul Gupta,Sunglasses,Clothing,2.0,715.68,2023-05-22,Mumbai
ORD-0559,Anjali Kapoor,Jacket,Clothing,9.0,2153.08,2023-01-25,madras
ORD-0619,Vikram Singh,novel,Books,7.0,327.56,2023-07-03,chennai
ORD-0353,Divya Iyer,Wall Art,Home Decor,3.0,1571.41,2023-04-25,Ahmedabad
ORD-0761,Ananya Verma,Headphones,Electronics,7.0,2686.51,2023-03-15,hyd
ORD-0930,,JUICE,Food,7.0,55.64,2023-07-18,poona
ORD-0293,Vikram Mishra,T-Shirt,Clothing,9.0,548.39,2023-11-09,madras
ORD-0753,Neha Kumar,Smart Watch,Electronics,2.0,8306.5,2023-03-22,Amdavad
ORD-0101,Rahul Patel,protein bar,Food,8.0,103.13,2023-04-13,Banglore
ORD-0492,Shreya Iyer,Art Book,Books,4.0,569.82,2023-04-18,bangalore
ORD-0833,Shreya Mehta,Juice,Food,2.0,53.54,2023-10-18,Jaipur
ORD-0809,Suresh Verma,Sunglasses,Clothing,2.0,788.2,2023-10-25,DELHI
ORD-0306,Neha Bose,CLOCK,Home Decor,8.0,1142.76,2023-02-02,MumbAI
ORD-0629,Amit Agarwal,Shoes,Clothing,4.0,2152.51,2023-03-23,SURT
ORD-0159,Deepa Bose,speaker,Electronics,2.0,2303.23,2023-11-16,calcutta
ORD-0552,,Kurta,Clothing,9.0,884.52,2023-07-19,DELHI
ORD-0003,Anjali Verma,Cookbook,Books,8.0,427.84,2023-01-19,Jaipur
ORD-0729,Sneha Sharma,Lamp,Home Decor,10.0,1092.59,2023-10-01,Amdavad
ORD-0209,Anjali Mehta,python basics,Books,8.0,510.91,2023-04-14,Ahmadabad
ORD-0300,Divya Agarwal,SNEAKERS,Clothing,9.0,2626.81,2023-09-05,Dlehi
ORD-0851,Pooja Patel,Juice,Food,9.0,52.21,2023-08-25,bengaluru
ORD-0437,Divya Joshi,Keyboard,Electronics,3.0,1307.74,2023-12-11,JAIPUR
ORD-0870,Priya Joshi,SMARTPHONE,Electronics,4.0,28345.87,2023-01-10,new delhi
ORD-0412,Rahul Joshi,NOVEL,Books,8.0,340.51,2023-10-08,Jaipur 
ORD-0615,Kavya Singh,Clock,Home Decor,5.0,1112.07,2023-06-04,Chennai
ORD-0908,Kavya Patel,Lamp,Home Decor,6.0,1143.05,2023-08-17,bangalore
ORD-0913,Suresh Gupta,Lamp,Home Decor,3.0,1244.69,2023-12-04,Mumbai
ORD-0997,Ananya Agarwal,ml handbook,Books,8.0,787.64,2023-05-05,Amdavad
ORD-0963,Kiran Joshi,Chips,Food,1.0,46.18,2023-09-04,Hyd
ORD-0701,Manish Kumar,Juice,Food,2.0,60.59,2023-02-06,hyd
ORD-0779,Kiran Kapoor,ML HANDBOOK,Books,1.0,746.21,2023-06-06,hyderabad
ORD-0307,Amit Agarwal,Handbag,Clothing,8.0,2009.78,2023-05-14,mumbai
ORD-0921,Sneha Kumar,,Home Decor,2.0,388.69,2023-02-02,amdavad
ORD-0494,Divya Verma,Cookbook,Books,2.0,362.57,2023-05-29,amdavad
ORD-0424,Ravi Kumar,self help book,Books,4.0,399.33,2023-11-09,madras
ORD-0299,Pooja Chopra,Cookbook,Books,6.0,414.75,2023-03-08,BANGALORE
ORD-0468,Arjun Kumar,Science Textbook,Books,7.0,721.88,2023-08-03,Calcutta
ORD-0885,Kiran Pillai,Jeans ,Clothing,2.0,1307.97,2023-12-01,poona
ORD-0756,Vikram Shah,Art Book,Books,10.0,598.51,2023-03-11,Banglore
ORD-0107,Divya Verma,,Clothing,8.0,2919.34,2023-01-10,Poona
ORD-0859,Priya Reddy,Science Textbook,Books,4.0,662.64,2023-11-27,surat
ORD-0056,Amit Pillai,Honey,Food,2.0,337.97,2023-12-15,Calcutta
ORD-0121,Pooja Gupta,chocolate,Food,6.0,163.83,2023-06-06,new delhi
ORD-0311,Rahul Mishra,ML Handbook,,2.0,687.18,2023-12-27,mumbai
ORD-0026,Deepa Agarwal,Jacket,Clothing,5.0,2171.11,2023-05-13,pink city
ORD-0073,Deepa Pillai,curtains,Home Decor,9.0,1703.31,2023-09-07,Banglore
ORD-0531,Deepa Joshi,Photo Frame,Home Decor,5.0,437.55,2023-05-17,jaipur
ORD-0045,Ravi Kumar,SPEAKER,Electronics,5.0,2319.08,2023-08-29,Hyd
ORD-0276,Arjun Gupta,Coffee,Food,9.0,400.18,2023-09-02,Mumbai
ORD-0479,Divya Verma,Jacket,Clothing,,2281.58,2023-07-31,Pune
ORD-0315,Suresh Mehta,Novel,Books,1.0,330.24,2023-10-17,PUNE
ORD-0337,Manish Kapoor,Speaker,Electronics,1.0,2766.6,2023-01-28,DELHI
ORD-0690,Sneha Nair,,Home Decor,9.0,1631.0,2023-12-10,hyd
ORD-0431,Priya Joshi,Self Help Book,Books,6.0,357.16,2023-04-08,bangalore
ORD-0951,,Sunglasses,Clothing,4.0,824.12,2023-10-28,KOLKATA
ORD-0834,Kavya Malhotra,Jacket,Clothing,3.0,1805.83,2023-07-06,amdavad
ORD-0589,,protein bar,Food,1.0,,2023-03-30,surat
ORD-0704,Vikram Kapoor,BISCUITS,Food,5.0,71.23,2023-01-13,Ahmadabad
ORD-0328,Shreya Singh,DRESS,Clothing,1.0,1550.27,2023-09-04,mumbai
ORD-0993,Divya Kumar,Dress,Clothing,1.0,1397.47,2023-03-24,Poona
ORD-0604,Anjali Chopra,DATA SCIENCE GUIDE,Books,2.0,701.29,2023-08-27,surat
ORD-0928,Ananya Mishra,Business Strategy ,Books,10.0,506.25,2023-09-23,Channai
ORD-0981,Neha Verma,Data Science Guide,Books,1.0,760.22,2023-03-02,pune
ORD-0972,Deepa Kapoor,,Clothing,10.0,2262.1,2023-09-21,Banglore
ORD-0763,Shreya Bose,Novel,Books,6.0,277.36,2023-12-13,Jaipur
ORD-0332,Ananya Agarwal,camera,Electronics,1.0,37707.38,2023-11-25,Pun
ORD-0061,Rahul Kapoor,Laptop ,Electronics,3.0,53163.18,2023-01-28,poona
ORD-0746,Rahul Mishra,Smartphone,Electronics,1.0,27996.81,2023-05-25,Mumbai
ORD-0372,Anjali Iyer,Mirror,Home Decor,3.0,1539.84,2023-02-22,Kolkatta
ORD-0093,Kavya Bose,Python Basics,Books,8.0,646.94,2023-08-08,Banglore
ORD-0723,,Mirror,Home Decor,9.0,,2023-08-10,SURAT
ORD-0491,Ravi Mishra,smart watch,Electronics,6.0,7893.58,2023-04-13,Hyd
ORD-0463,Suresh Singh,Protein Bar,Food,5.0,128.86,2023-11-04,HYDERABAD
ORD-0219,Sneha Nair,Wall Art,Home Decor,5.0,1567.33,2023-12-19,jaipur
ORD-0514,Manish Verma,,Clothing,2.0,887.86,2023-12-08,calcutta
ORD-0621,Vikram Agarwal,Dress,Clothing,2.0,1358.03,2023-12-29,amdavad
ORD-0426,Neha Chopra,Monitor,Electronics,7.0,15222.88,2023-04-07,Pink City
ORD-0333,Sneha Gupta,Science Textbook,Books,2.0,555.31,2023-07-17,HYDERABAD
ORD-0860,Shreya Verma,ml handbook,Books,3.0,608.8,2023-11-07,jaipur
ORD-0990,Vikram Chopra,Speaker,Electronics,8.0,2739.33,2023-09-03,Ahmadabad
ORD-0583,Suresh Singh,Tablet ,Electronics,1.0,17960.14,2023-05-31,bengaluru
ORD-0356,Suresh Joshi,VASE,Home Decor,6.0,834.18,2023-07-13,Kolkatta
ORD-0483,Anjali Gupta,Mirror,Home Decor,9.0,1775.45,2023-06-03,BANGALORE
ORD-0546,,Sunglasses,Clothing,1.0,765.96,2023-11-12,Pun
ORD-0111,Vikram Singh,Monitor,Electronics,3.0,14053.88,2023-05-08,JAIPUR
ORD-0515,Shreya Patel,Cookbook,Books,9.0,345.43,2023-12-30,MUMBAI
ORD-0603,Sneha Singh,headphones,Electronics,10.0,2709.31,2023-06-19,surat
ORD-0996,Amit Gupta,Laptop,Electronics,,,2023-01-12,MUMBAI
ORD-0508,Arjun Rao,Mirror,Home Decor,3.0,1974.17,2023-03-01,Kolkatta
ORD-0335,Rajesh Sharma,Saree,Clothing,1.0,2591.4,2023-10-13,Mumbai 
ORD-0849,Anjali Bose,kurta,Clothing,2.0,800.53,2023-06-19,HYDERABAD
ORD-0295,Aarav Malhotra,Plant Pot,Home Decor,1.0,310.84,2023-07-03,HYDERABAD
ORD-0287,Anjali Kapoor,Science Textbook,Books,3.0,643.29,2023-10-30,poona
ORD-0939,Ananya Verma,ML Handbook,Books,5.0,619.73,2023-09-24,new delhi
ORD-0448,Rahul Agarwal,Novel,Books,9.0,322.8,2023-09-29,Surat
ORD-0693,Ananya Agarwal,Protein Bar,Food,4.0,120.27,2023-12-17,Bangalore
ORD-0653,Rahul Kumar,Mouse,Electronics,10.0,820.84,2023-08-17,Calcutta
ORD-0969,Arjun Chopra,Wall Art,Home Decor,1.0,1529.88,2023-03-26,Hyderabad
ORD-0278,Ravi Joshi,Keyboard,Electronics,2.0,1567.48,2023-11-29,KOLKATA
ORD-0759,Amit Nair,Tablet,Electronics,6.0,20127.02,2023-06-01,Pun
ORD-0138,Vikram Patel,shoes,Clothing,3.0,2652.26,2023-04-07,Mumbai 
ORD-0502,,HEADPHONES,Electronics,6.0,3032.49,2023-09-15,Pun
ORD-0405,Priya Nair,Data Science Guide,Books,5.0,756.81,2023-12-04,MUMBAI
ORD-0524,Suresh Agarwal,Monitor,Electronics,7.0,,2023-01-13,surat
ORD-0781,Divya Patel,Plant Pot,Home Decor,4.0,370.36,2023-06-26,Bangalore
ORD-0978,Arjun Pillai,Biscuits,Food,6.0,69.23,2023-03-22,delhi
ORD-0581,Neha Nair,Smartphone,Electronics,7.0,24693.52,2023-04-11,jaipur
ORD-0238,Deepa Chopra,T-Shirt,Clothing,3.0,428.65,2023-04-29,Amdavad
ORD-0989,Rahul Nair,Smart Watch,Electronics,8.0,7391.36,2023-09-03,AHMEDABAD
ORD-0216,Kavya Pillai,Kurta,Clothing,10.0,736.94,2023-10-08,DELHI
ORD-0895,Kavya Chopra,Saree,Clothing,3.0,3151.28,2023-09-19,Hyderabad
ORD-0245,Deepa Mehta,Vase,Home Decor,7.0,683.71,2023-03-31,Delhi
ORD-0553,Arjun Shah,Protein Bar,Food,4.0,121.87,2023-05-02,amdavad
ORD-0838,Pooja Gupta,Biscuits,Food,3.0,76.7,2023-01-03,Amdavad
ORD-0864,Ravi Mehta,Keyboard,Electronics,9.0,1473.34,2023-10-03,Suart
ORD-0668,Manish Mishra,Photo Frame,Home Decor,5.0,359.28,2023-01-13,Pink City
ORD-0622,Aarav Patel,Tea,Food,5.0,182.56,2023-06-12,Ahmadabad
ORD-0079,Shreya Sharma,Self Help Book,Books,1.0,383.02,2023-01-30,pink city
ORD-0030,Deepa Kumar,clock,Home Decor,8.0,863.94,2023-06-21,surat 
ORD-0451,Ravi Sharma,BISCUITS,Food,7.0,86.65,2023-08-10,hyderabad
ORD-0290,Pooja Rao,JUICE,Food,10.0,61.63,2023-12-14,Poona
ORD-0050,Ravi Verma,Art Book,Books,7.0,498.0,2023-11-14,Mumbai 
ORD-0671,Ravi Shah,Tea,Food,10.0,180.4,2023-09-21,bangalore
ORD-0799,Sneha Chopra,coffee,Food,7.0,423.6,2023-08-25,Calcutta
ORD-0215,Rahul Nair,Mouse,Electronics,7.0,850.92,2023-01-21,Mumabi
ORD-0166,Amit Shah,protein bar,Food,6.0,132.07,2023-01-11,MumbAI
ORD-0931,Kavya Pillai,Smartphone,Electronics,5.0,22295.17,2023-08-29,SURAT
ORD-0179,Suresh Mehta,Rug,Home Decor,1.0,3393.06,2023-04-16,SURAT
ORD-0694,Divya Sharma,Monitor,Electronics,10.0,13840.84,2023-08-06,Kolkata
ORD-0066,Divya Nair,KURTA,Clothing,3.0,810.25,2023-07-29,Pink City
ORD-0142,Rajesh Iyer,Laptop,Electronics,9.0,50904.41,2023-04-27,Kolkata
ORD-0986,Neha Rao,Photo Frame,Home Decor,1.0,399.46,2023-02-28,Hyderabad
ORD-0352,Ravi Agarwal,Headphones,Electronics,8.0,3320.84,2023-09-17,chennai
ORD-0862,Ananya Sharma,Novel,Books,9.0,295.8,2023-05-24,DELHI
ORD-0441,Deepa Agarwal,ART BOOK,Books,7.0,481.5,2023-08-23,madras
ORD-0347,Pooja Iyer,Self Help Book,Books,2.0,416.21,2023-06-14,Chennai
ORD-0255,Deepa Joshi,CHIPS,Food,4.0,45.04,2023-01-05,Hyd
ORD-0695,Ananya Nair,TEA,Food,1.0,176.89,2023-02-23,Bangalore
ORD-0345,Rahul Pillai,Headphones,Electronics,10.0,2908.65,2023-02-08,hyd
ORD-0222,Sneha Agarwal,Art Book,Books,4.0,561.27,2023-05-01,Pink City
ORD-0236,Deepa Mishra,Science Textbook,Books,2.0,693.38,2023-05-12,AHMEDABAD
ORD-0548,Arjun Nair,,Clothing,8.0,525.74,2023-10-15,Kolkata
ORD-0500,Ravi Sharma,Cushion,Home Decor,7.0,572.93,2023-11-29,amdavad
ORD-0596,Divya Rao,data science guide,Books,1.0,793.75,2023-10-12,Hyd
ORD-0941,Kavya Bose,Plant Pot,Home Decor,1.0,326.28,2023-05-21,Madras
ORD-0250,Kiran Iyer,Clock,Home Decor,1.0,1105.9,2023-06-10,DELHI
ORD-0319,Ravi Kumar,,Electronics,6.0,717.54,2023-09-23,delhi
ORD-0382,Kavya Bose,Protein Bar,Food,7.0,127.08,2023-11-23,Bangalore
ORD-0072,Kiran Singh,,Home Decor,8.0,909.61,2023-02-11,Pun
ORD-0095,Sneha Joshi,Handbag,Clothing,10.0,2162.58,2023-08-08,mumbai
ORD-0034,Neha Shah,Clock,Home Decor,4.0,1134.67,2023-07-01,bengaluru
ORD-0260,Arjun Mishra,Mouse,Electronics,1.0,703.32,2023-06-18,Amdavad
ORD-0205,Pooja Joshi,Laptop,Electronics,2.0,56756.08,2023-11-08,Mumabi
ORD-0360,Ananya Kapoor,Mouse,Electronics,2.0,818.11,2023-08-24,
ORD-0602,Deepa Iyer,Sneakers,Clothing,8.0,2800.73,2023-01-03,surat 
ORD-0399,Deepa Verma,Saree,Clothing,3.0,3225.78,2023-08-31,Chennai
ORD-0078,Ananya Rao,Monitor,Electronics,5.0,13083.2,2023-11-21,PUNE
ORD-0085,Rahul Chopra,Dress,,2.0,1414.94,2023-10-23,Delhi
ORD-0320,Shreya Sharma,Mirror,,3.0,1665.13,2023-09-25,MUMBAI
ORD-0083,Rajesh Kumar,handbag,Clothing,2.0,1898.54,2023-04-18,Bengaluru
ORD-0948,Shreya Pillai,Clock,Home Decor,10.0,1120.01,2023-12-01,Pink City
ORD-0708,Suresh Malhotra,Spices,Food,3.0,163.94,2023-02-14,Calcutta
ORD-0539,Pooja Verma,,Food,1.0,394.07,2023-06-01,Jaipur
ORD-0544,Ananya Kapoor,Rug,Home Decor,2.0,3154.53,2023-08-20,Mumabi
ORD-0826,Neha Bose,Laptop ,Electronics,6.0,61927.62,2023-11-12,
ORD-0429,Arjun Agarwal,Lamp,Home Decor,3.0,1146.33,2023-04-21,Ahmadabad
ORD-0310,Rajesh Sharma,Laptop,Electronics,5.0,51218.73,2023-01-07,Ahmadabad
ORD-0006,Pooja Patel,Cookies ,Food,7.0,,2023-10-20,hyderabad
ORD-0789,Neha Patel,Handbag ,Clothing,8.0,1977.2,2023-04-24,JAIPUR
ORD-0105,Anjali Nair,Biscuits,Food,4.0,89.78,2023-09-29,DELHI
ORD-0098,Rajesh Chopra,Chocolate,Food,6.0,146.74,2023-01-03,surat 
ORD-0297,Aarav Shah,Dress,,4.0,1621.5,2023-01-15,pune
ORD-0409,Rajesh Patel,SNEAKERS,Clothing,5.0,3364.84,2023-07-01,Ahmedabad
ORD-0446,Kiran Chopra,Sunglasses ,Clothing,,907.34,2023-09-13,Pune
ORD-0904,Kiran Kapoor,PYTHON BASICS,Books,7.0,614.95,2023-12-17,Poona
ORD-0282,Rahul Reddy,Protein Bar,Food,5.0,5.708500000000001,2023-12-23,Hyderabad
ORD-0267,Kiran Bose,Tea,Food,9.0,211.82,2023-06-25,Suart
ORD-0740,Rajesh Kapoor,Science Textbook,Books,8.0,626.0,2023-02-24,Chennai
ORD-0887,Manish Iyer,Photo Frame,Home Decor,8.0,418.33,2023-07-07,chennai
ORD-0535,Deepa Sharma,Lamp,Home Decor,6.0,1296.84,2023-05-09,SURT
ORD-0433,Arjun Kumar,ML Handbook,Books,2.0,724.83,2023-02-25,JAIPUR
ORD-0912,Arjun Kapoor,Vase,Home Decor,4.0,744.34,2023-10-17,bangalore
ORD-0657,Ananya Malhotra,Smart Watch,Electronics,4.0,7481.06,2023-11-15,DELHI
ORD-0119,Vikram Chopra,Handbag ,Clothing,3.0,2235.54,2023-09-15,poona
ORD-0406,Shreya Singh,PROTEIN BAR,Food,10.0,134.24,2023-04-24,madras
